1000,497.04,199.96
621.02,503.48,200.21
385.66,530.69,200.89
239.5,565.32,198.6
148.74,571.34,190.7
92.367,526.19,182.33
57.362,444.1,181.28
35.622,354.6,192.65
22.122,276.67,224.14
13.738,216.39,284.35
8.5317,172.29,370.84
5.2983,137.3,457.62
3.2903,107.26,493.64
2.0434,84.606,443.67
1.269,72.189,340.58
0.78805,70.65,240.92
0.48939,79.926,170.15
0.30392,100.45,129.53
0.18874,133.36,114.21
0.11721,180.23,120.78
0.07279,242.4,148.86
0.045204,320.33,201.01
0.028072,412.91,282.27
0.017433,517.2,399.45
0.010826,628.67,559.86
0.0067234,742.01,769.58
0.0041753,852.04,1031.1
0.0025929,954.61,1341.5
0.0016103,1047,1691.3
0.001,1127.8,2065.4
