1,100.21,20.021,150,17.546
1.2798,100.21,20.021,149.98,17.855
1.6379,100.21,20.021,149.93,18.435
2.0962,100.21,20.021,149.83,19.464
2.6827,100.21,20.022,149.63,21.15
3.4333,100.21,20.022,149.22,23.653
4.394,100.2,20.024,148.39,26.989
5.6234,100.2,20.028,146.76,31
7.1969,100.18,20.035,143.68,35.443
9.2106,100.15,20.05,138.21,40.096
11.788,100.09,20.082,129.29,44.79
15.086,99.957,20.147,116.49,49.43
19.307,99.696,20.28,101.06,54.042
24.709,99.184,20.546,86.516,58.864
31.623,98.221,21.066,77.344,64.45
40.471,96.53,22.04,76.34,71.729
51.795,93.861,23.761,82.767,81.917
66.287,90.347,26.559,93.139,96.183
84.834,87.075,30.656,103.49,115.21
108.57,86.411,35.974,110.74,139.03
138.95,91.251,42.07,112.77,167.29
177.83,103.34,48.277,108.59,199.54
227.58,122.32,53.867,98.813,235.28
291.26,146.68,58.158,85.871,273.73
372.76,175.1,60.633,73.113,313.79
477.06,206.76,61.13,63.212,354.04
610.54,240.94,59.962,56.989,392.89
781.37,276.69,57.827,53.662,428.78
1000,312.75,55.514,52.006,460.41
