1,41.194,41.194,41.194,41.194,299.54,86.916,273.32,149.79,248.24,299.52,199.73,299.84,199.43,297.82,255.73,20.25,40.47,36.102
1.269,42.126,42.126,42.126,42.126,299.04,77.823,267.09,149.57,246.47,299.01,199.43,299.65,198.82,295.67,225.09,20.292,40.772,36.948
1.6103,43.847,43.847,43.847,43.847,298.05,65.208,255.83,149.12,243.07,297.99,198.84,299.27,197.63,291.5,182.79,20.375,41.359,38.508
2.0434,46.864,46.864,46.864,46.864,296.1,50.194,236.76,148.24,236.71,295.98,197.67,298.5,195.33,283.73,132.87,20.541,42.47,41.244
2.5929,51.796,51.796,51.796,51.796,292.31,35.361,207.3,146.54,225.41,292.09,195.4,296.98,190.99,269.92,84.31,20.866,44.491,45.717
3.2903,59.191,59.191,59.191,59.191,285.21,23.561,167.14,143.35,206.74,284.78,191.14,294.01,183.19,247.08,46.721,21.484,47.96,52.424
4.1753,69.256,69.256,69.256,69.256,272.49,16.225,120.51,137.64,178.86,271.7,183.51,288.35,170.08,213,24.462,22.618,53.474,61.549
5.2983,81.717,81.717,81.717,81.717,251.21,12.789,76.055,128.1,142.54,249.85,170.78,278,150.05,168.62,14.846,24.593,61.458,72.825
6.7234,95.899,95.899,95.899,95.899,218.94,11.723,42.535,113.68,102.76,216.75,151.53,260.16,123.19,120.02,12.075,27.792,71.883,85.59
8.5317,110.83,110.83,110.83,110.83,176.06,11.847,23.505,94.631,67.647,172.86,126.09,231.9,92.743,77.098,11.921,32.544,84.174,98.86
10.826,125.13,125.13,125.13,125.13,127.97,12.744,16.17,73.558,44.106,123.85,97.904,192.17,64.852,48.188,12.81,38.961,97.297,111.2
13.738,136.75,136.75,136.75,136.75,84.369,14.456,15.302,55.095,33.873,79.728,73.121,144.33,45.566,35.238,14.55,46.867,109.81,120.58
17.433,143.03,143.03,143.03,143.03,54.262,17.148,17.297,43.634,33.742,49.63,57.542,97.038,37.288,34.178,17.286,55.835,119.77,124.5
22.122,141.14,141.14,141.14,141.14,40.59,20.934,20.796,40.761,39.234,36.226,53.192,60.578,38.066,39.495,21.134,65.218,124.9,120.65
28.072,129.34,129.34,129.34,129.34,39.709,25.832,25.433,44.853,47.427,35.389,57.77,40.685,44.119,47.675,26.126,74.077,123.11,108.12
35.622,108.52,108.52,108.52,108.52,45.767,31.804,31.039,53.038,57.065,41.022,67.255,35.585,52.538,57.243,32.25,81.148,113.72,88.608
45.204,83.031,83.031,83.031,83.031,54.736,38.772,37.449,63.131,67.511,49.206,78.494,39.243,61.817,67.43,39.479,85.012,98.524,66.723
57.362,59.662,59.662,59.662,59.662,64.83,46.554,44.423,73.833,78.019,58.368,89.548,46.546,71.015,77.306,47.714,84.568,82.067,48.502
72.79,44.503,44.503,44.503,44.503,75.097,54.743,51.559,83.978,87.496,67.717,98.83,55.053,79.101,85.496,56.684,79.757,70.102,38.454
92.367,39.787,39.787,39.787,39.787,84.48,62.603,58.245,92.057,94.544,76.347,104.68,63.728,84.859,90.228,65.852,72.206,66.765,37.352
117.21,43.591,43.591,43.591,43.591,91.648,69.019,63.705,96.256,97.724,83.1,105.62,71.681,87.133,89.685,74.374,65.184,72.592,42.91
148.74,52.619,52.619,52.619,52.619,95.203,72.578,67.138,94.897,96.059,86.754,100.96,77.851,85.279,82.697,81.134,62.412,85.319,52.483
188.74,64.834,64.834,64.834,64.834,94.141,71.874,67.984,87.18,89.604,86.419,91.407,81.152,79.603,69.612,84.943,66.246,102.43,64.796
239.5,79.741,79.741,79.741,79.741,88.414,66.076,66.207,73.957,79.78,82.018,79.17,80.841,71.509,52.808,84.913,76.728,122.59,79.712
303.92,97.5,97.5,97.5,97.5,79.271,55.602,62.439,57.961,69.02,74.576,67.202,76.932,63.054,36.148,80.922,92.441,145.33,97.47
385.66,118.35,118.35,118.35,118.35,68.988,42.449,57.816,42.924,59.739,66.005,57.852,70.419,56.037,23.228,73.91,112.09,170.33,118.32
489.39,142.43,142.43,142.43,142.43,59.924,29.666,53.505,31.791,53.241,58.313,51.881,63.021,51.25,15.511,65.693,135.15,197.08,142.4
621.02,169.73,169.73,169.73,169.73,53.446,19.937,50.221,25.323,49.425,52.705,48.634,56.455,48.452,12.021,58.223,161.47,224.85,169.69
788.05,200,200,200,200,49.569,14.213,48.078,22.329,47.422,49.264,47.001,51.697,46.949,10.789,52.711,190.86,252.72,199.97
1000,232.74,232.74,232.74,232.74,47.505,11.63,46.808,21.124,46.389,47.378,46.163,48.766,46.143,10.385,49.291,222.91,279.66,232.71
