10,-0.34431,-0.061719,-0.056436,-0.038412,-0.16679,-0.11912,-0.073706,-0.21444,-0.2785,-0.19758,-0.052805,-0.053685,-0.087645,-0.090023,-0.15265,-0.20048,-0.039601,-0.11113
20,-0.35057,-0.062925,-0.057792,-0.039038,-0.16975,-0.12275,-0.075445,-0.2193,-0.28462,-0.20233,-0.053994,-0.054906,-0.089795,-0.09293,-0.15511,-0.20366,-0.040169,-0.11269
30,-0.35706,-0.064178,-0.059215,-0.039685,-0.1728,-0.1266,-0.077268,-0.22438,-0.29102,-0.20732,-0.055237,-0.056183,-0.09205,-0.096023,-0.15765,-0.20694,-0.040754,-0.1143
40,-0.3638,-0.065482,-0.060708,-0.040354,-0.17597,-0.1307,-0.07918,-0.22971,-0.2977,-0.21255,-0.056538,-0.057521,-0.094419,-0.099321,-0.16027,-0.21033,-0.041356,-0.11595
50,-0.37079,-0.066839,-0.062279,-0.041046,-0.17926,-0.13507,-0.08119,-0.23529,-0.30468,-0.21805,-0.057902,-0.058923,-0.096908,-0.10284,-0.16298,-0.21383,-0.041976,-0.11765
60,-0.37805,-0.068253,-0.063931,-0.041762,-0.18267,-0.13973,-0.083303,-0.24114,-0.312,-0.22384,-0.059333,-0.060394,-0.099529,-0.10661,-0.16578,-0.21744,-0.042615,-0.11939
70,-0.3856,-0.069726,-0.065673,-0.042504,-0.18621,-0.14472,-0.085528,-0.24728,-0.31967,-0.22994,-0.060836,-0.061939,-0.10229,-0.11065,-0.16867,-0.22118,-0.043273,-0.12119
80,-0.39345,-0.071264,-0.067512,-0.043272,-0.18989,-0.15008,-0.087875,-0.25374,-0.32771,-0.23638,-0.062416,-0.063564,-0.10521,-0.11499,-0.17167,-0.22505,-0.043952,-0.12305
90,-0.40163,-0.07287,-0.069455,-0.044068,-0.19372,-0.15583,-0.090353,-0.26054,-0.33616,-0.24319,-0.06408,-0.065275,-0.10828,-0.11965,-0.17478,-0.22906,-0.044653,-0.12496
100,-0.41014,-0.074549,-0.071513,-0.044894,-0.19771,-0.16204,-0.092975,-0.26771,-0.34504,-0.2504,-0.065834,-0.067079,-0.11154,-0.12469,-0.17799,-0.23321,-0.045376,-0.12693
110,-0.41902,-0.076306,-0.073694,-0.045751,-0.20186,-0.16874,-0.095751,-0.27527,-0.35439,-0.25804,-0.067687,-0.068984,-0.11499,-0.13013,-0.18133,-0.23751,-0.046123,-0.12897
120,-0.42829,-0.078145,-0.07601,-0.046642,-0.20619,-0.17601,-0.098697,-0.28326,-0.36425,-0.26616,-0.069646,-0.070998,-0.11866,-0.13602,-0.1848,-0.24197,-0.046894,-0.13106
130,-0.43796,-0.080074,-0.078475,-0.047568,-0.21071,-0.1839,-0.10183,-0.29172,-0.37464,-0.27479,-0.07172,-0.07313,-0.12255,-0.14241,-0.18839,-0.2466,-0.047692,-0.13323
140,-0.44808,-0.082098,-0.081102,-0.048531,-0.21543,-0.19251,-0.10516,-0.30069,-0.38563,-0.284,-0.073921,-0.075392,-0.12669,-0.14936,-0.19213,-0.25141,-0.048516,-0.13547
150,-0.45867,-0.084225,-0.083909,-0.049534,-0.22036,-0.20193,-0.10872,-0.3102,-0.39725,-0.29383,-0.076259,-0.077794,-0.1311,-0.15692,-0.19601,-0.2564,-0.04937,-0.13779
160,-0.46976,-0.086462,-0.086912,-0.050579,-0.22552,-0.21228,-0.11253,-0.32032,-0.40957,-0.30436,-0.078749,-0.080351,-0.13582,-0.16516,-0.20006,-0.2616,-0.050254,-0.14018
